Code,Description
L02222,"Furuncle of back [any part, except buttock]"
L02223,Furuncle of chest wall
L02224,Furuncle of groin
L02225,Furuncle of perineum
L02226,Furuncle of umbilicus
L02229,"Furuncle of trunk, unspecified"
L02231,Carbuncle of abdominal wall
L02232,"Carbuncle of back [any part, except buttock]"
L02233,Carbuncle of chest wall
L02234,Carbuncle of groin
L02235,Carbuncle of perineum
L02236,Carbuncle of umbilicus
L02239,"Carbuncle of trunk, unspecified"
L0231,Cutaneous abscess of buttock
L0232,Furuncle of buttock
L0233,Carbuncle of buttock
L02411,Cutaneous abscess of right axilla
L02412,Cutaneous abscess of left axilla
L02413,Cutaneous abscess of right upper limb
L02414,Cutaneous abscess of left upper limb
L02415,Cutaneous abscess of right lower limb
L02416,Cutaneous abscess of left lower limb
L02419,"Cutaneous abscess of limb, unspecified"
L02421,Furuncle of right axilla
L02422,Furuncle of left axilla
L02423,Furuncle of right upper limb
L02424,Furuncle of left upper limb
L02425,Furuncle of right lower limb
L02426,Furuncle of left lower limb
L02429,"Furuncle of limb, unspecified"
L02431,Carbuncle of right axilla
L02432,Carbuncle of left axilla
L02433,Carbuncle of right upper limb
L02434,Carbuncle of left upper limb
L02435,Carbuncle of right lower limb
L02436,Carbuncle of left lower limb
L02439,"Carbuncle of limb, unspecified"
L02511,Cutaneous abscess of right hand
L02512,Cutaneous abscess of left hand
L02519,Cutaneous abscess of unspecified hand
L02521,Furuncle right hand
L02522,Furuncle left hand
L02529,Furuncle unspecified hand
L02531,Carbuncle of right hand
L02532,Carbuncle of left hand
L02539,Carbuncle of unspecified hand
L02611,Cutaneous abscess of right foot
L02612,Cutaneous abscess of left foot
L02619,Cutaneous abscess of unspecified foot
L02621,Furuncle of right foot
L02622,Furuncle of left foot
L02629,Furuncle of unspecified foot
L02631,Carbuncle of right foot
L02632,Carbuncle of left foot
L02639,Carbuncle of unspecified foot
L02811,"Cutaneous abscess of head [any part, except face]"
L02818,Cutaneous abscess of other sites
L02821,"Furuncle of head [any part, except face]"
L02828,Furuncle of other sites
L02831,"Carbuncle of head [any part, except face]"
L02838,Carbuncle of other sites
L0291,"Cutaneous abscess, unspecified"
L0292,"Furuncle, unspecified"
L0293,"Carbuncle, unspecified"
L03011,Cellulitis of right finger
L03012,Cellulitis of left finger
L03019,Cellulitis of unspecified finger
L03021,Acute lymphangitis of right finger
L03022,Acute lymphangitis of left finger
L03029,Acute lymphangitis of unspecified finger
L03031,Cellulitis of right toe
L03032,Cellulitis of left toe
L03039,Cellulitis of unspecified toe
L03041,Acute lymphangitis of right toe
L03042,Acute lymphangitis of left toe
L03049,Acute lymphangitis of unspecified toe
L03111,Cellulitis of right axilla
L03112,Cellulitis of left axilla
L03113,Cellulitis of right upper limb
L03114,Cellulitis of left upper limb
L03115,Cellulitis of right lower limb
L03116,Cellulitis of left lower limb
L03119,Cellulitis of unspecified part of limb
L03121,Acute lymphangitis of right axilla
L03122,Acute lymphangitis of left axilla
L03123,Acute lymphangitis of right upper limb
L03124,Acute lymphangitis of left upper limb
L03125,Acute lymphangitis of right lower limb
L03126,Acute lymphangitis of left lower limb
L03129,Acute lymphangitis of unspecified part of limb
L03211,Cellulitis of face
L03212,Acute lymphangitis of face
L03213,Periorbital cellulitis
L03221,Cellulitis of neck
L03222,Acute lymphangitis of neck
L03311,Cellulitis of abdominal wall
L03312,Cellulitis of back [any part except buttock]
L03313,Cellulitis of chest wall
L03314,Cellulitis of groin
L03315,Cellulitis of perineum
L03316,Cellulitis of umbilicus
L03317,Cellulitis of buttock
L03319,"Cellulitis of trunk, unspecified"
L03321,Acute lymphangitis of abdominal wall
L03322,Acute lymphangitis of back [any part except buttock]
L03323,Acute lymphangitis of chest wall
L03324,Acute lymphangitis of groin
L03325,Acute lymphangitis of perineum
L03326,Acute lymphangitis of umbilicus
L03327,Acute lymphangitis of buttock
L03329,"Acute lymphangitis of trunk, unspecified"
L03811,"Cellulitis of head [any part, except face]"
L03818,Cellulitis of other sites
L03891,"Acute lymphangitis of head [any part, except face]"
L03898,Acute lymphangitis of other sites
L0390,"Cellulitis, unspecified"
L0391,"Acute lymphangitis, unspecified"
L040,"Acute lymphadenitis of face, head and neck"
L041,Acute lymphadenitis of trunk
L042,Acute lymphadenitis of upper limb
L043,Acute lymphadenitis of lower limb
L048,Acute lymphadenitis of other sites
L049,"Acute lymphadenitis, unspecified"
L0501,Pilonidal cyst with abscess
L0502,Pilonidal sinus with abscess
L0591,Pilonidal cyst without abscess
L0592,Pilonidal sinus without abscess
L080,Pyoderma
L081,Erythrasma
L0881,Pyoderma vegetans
L0882,Omphalitis not of newborn
L0889,Other specified local infections of the skin and subcutaneous tissue
L089,"Local infection of the skin and subcutaneous tissue, unspecified"
L100,Pemphigus vulgaris
L101,Pemphigus vegetans
L102,Pemphigus foliaceous
L103,Brazilian pemphigus [fogo selvagem]
L104,Pemphigus erythematosus
L105,Drug-induced pemphigus
L1081,Paraneoplastic pemphigus
L1089,Other pemphigus
L109,"Pemphigus, unspecified"
L110,Acquired keratosis follicularis
L111,Transient acantholytic dermatosis [Grover]
L118,Other specified acantholytic disorders
L119,"Acantholytic disorder, unspecified"
L120,Bullous pemphigoid
L121,Cicatricial pemphigoid
L122,Chronic bullous disease of childhood
L1230,"Acquired epidermolysis bullosa, unspecified"
L1231,Epidermolysis bullosa due to drug
L1235,Other acquired epidermolysis bullosa
L128,Other pemphigoid
L129,"Pemphigoid, unspecified"
L130,Dermatitis herpetiformis
L131,Subcorneal pustular dermatitis
L138,Other specified bullous disorders
L139,"Bullous disorder, unspecified"
L14,Bullous disorders in diseases classified elsewhere
L200,Besnier's prurigo
L2081,Atopic neurodermatitis
L2082,Flexural eczema
L2083,Infantile (acute) (chronic) eczema
L2084,Intrinsic (allergic) eczema
L2089,Other atopic dermatitis
L209,"Atopic dermatitis, unspecified"
L210,Seborrhea capitis
L211,Seborrheic infantile dermatitis
L218,Other seborrheic dermatitis
L219,"Seborrheic dermatitis, unspecified"
L22,Diaper dermatitis
L230,Allergic contact dermatitis due to metals
L231,Allergic contact dermatitis due to adhesives
L232,Allergic contact dermatitis due to cosmetics
L233,Allergic contact dermatitis due to drugs in contact with skin
L234,Allergic contact dermatitis due to dyes
L235,Allergic contact dermatitis due to other chemical products
L236,Allergic contact dermatitis due to food in contact with the skin
L237,"Allergic contact dermatitis due to plants, except food"
L2381,Allergic contact dermatitis due to animal (cat) (dog) dander
L2389,Allergic contact dermatitis due to other agents
L239,"Allergic contact dermatitis, unspecified cause"
L240,Irritant contact dermatitis due to detergents
L241,Irritant contact dermatitis due to oils and greases
L242,Irritant contact dermatitis due to solvents
L243,Irritant contact dermatitis due to cosmetics
L244,Irritant contact dermatitis due to drugs in contact with skin
L245,Irritant contact dermatitis due to other chemical products
L246,Irritant contact dermatitis due to food in contact with skin
L247,"Irritant contact dermatitis due to plants, except food"
L2481,Irritant contact dermatitis due to metals
L2489,Irritant contact dermatitis due to other agents
L249,"Irritant contact dermatitis, unspecified cause"
L250,Unspecified contact dermatitis due to cosmetics
L251,Unspecified contact dermatitis due to drugs in contact with skin
L252,Unspecified contact dermatitis due to dyes
L253,Unspecified contact dermatitis due to other chemical products
L254,Unspecified contact dermatitis due to food in contact with skin
L255,"Unspecified contact dermatitis due to plants, except food"
L258,Unspecified contact dermatitis due to other agents
L259,"Unspecified contact dermatitis, unspecified cause"
L26,Exfoliative dermatitis
L270,Generalized skin eruption due to drugs and medicaments taken internally
L271,Localized skin eruption due to drugs and medicaments taken internally
L272,Dermatitis due to ingested food
L278,Dermatitis due to other substances taken internally
L279,Dermatitis due to unspecified substance taken internally
L280,Lichen simplex chronicus
L281,Prurigo nodularis
L282,Other prurigo
L290,Pruritus ani
L291,Pruritus scroti
L292,Pruritus vulvae
L293,"Anogenital pruritus, unspecified"
L298,Other pruritus
L299,"Pruritus, unspecified"
L300,Nummular dermatitis
L301,Dyshidrosis [pompholyx]
L302,Cutaneous autosensitization
L303,Infective dermatitis
L304,Erythema intertrigo
L305,Pityriasis alba
L308,Other specified dermatitis
L309,"Dermatitis, unspecified"
L400,Psoriasis vulgaris
L401,Generalized pustular psoriasis
L402,Acrodermatitis continua
L403,Pustulosis palmaris et plantaris
L404,Guttate psoriasis
L4050,"Arthropathic psoriasis, unspecified"
L4051,Distal interphalangeal psoriatic arthropathy
L4052,Psoriatic arthritis mutilans
L4053,Psoriatic spondylitis
L4054,Psoriatic juvenile arthropathy
L4059,Other psoriatic arthropathy
L408,Other psoriasis
L409,"Psoriasis, unspecified"
L410,Pityriasis lichenoides et varioliformis acuta
L411,Pityriasis lichenoides chronica
L413,Small plaque parapsoriasis
L414,Large plaque parapsoriasis
L415,Retiform parapsoriasis
L418,Other parapsoriasis
L419,"Parapsoriasis, unspecified"
L42,Pityriasis rosea
L430,Hypertrophic lichen planus
L431,Bullous lichen planus
L432,Lichenoid drug reaction
L433,Subacute (active) lichen planus
L438,Other lichen planus
L439,"Lichen planus, unspecified"
L440,Pityriasis rubra pilaris
L441,Lichen nitidus
L442,Lichen striatus
L443,Lichen ruber moniliformis
L444,Infantile papular acrodermatitis [Gianotti-Crosti]
L448,Other specified papulosquamous disorders
L449,"Papulosquamous disorder, unspecified"
L45,Papulosquamous disorders in diseases classified elsewhere
L490,Exfoliation due to erythematous condition involving less than 10 percent of body surface
L491,Exfoliation due to erythematous condition involving 10-19 percent of body surface
L492,Exfoliation due to erythematous condition involving 20-29 percent of body surface
L493,Exfoliation due to erythematous condition involving 30-39 percent of body surface
L494,Exfoliation due to erythematous condition involving 40-49 percent of body surface
L495,Exfoliation due to erythematous condition involving 50-59 percent of body surface
L496,Exfoliation due to erythematous condition involving 60-69 percent of body surface
L497,Exfoliation due to erythematous condition involving 70-79 percent of body surface
L498,Exfoliation due to erythematous condition involving 80-89 percent of body surface
L499,Exfoliation due to erythematous condition involving 90 or more percent of body surface
L500,Allergic urticaria
L501,Idiopathic urticaria
L502,Urticaria due to cold and heat
L503,Dermatographic urticaria
L504,Vibratory urticaria
L505,Cholinergic urticaria
L506,Contact urticaria
L508,Other urticaria
L509,"Urticaria, unspecified"
L510,Nonbullous erythema multiforme
L511,Stevens-Johnson syndrome
L512,Toxic epidermal necrolysis [Lyell]
L513,Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome
L518,Other erythema multiforme
L519,"Erythema multiforme, unspecified"
L52,Erythema nodosum
L530,Toxic erythema
L531,Erythema annulare centrifugum
L532,Erythema marginatum
L533,Other chronic figurate erythema
L538,Other specified erythematous conditions
L539,"Erythematous condition, unspecified"
L54,Erythema in diseases classified elsewhere
L550,Sunburn of first degree
L551,Sunburn of second degree
L552,Sunburn of third degree
L559,"Sunburn, unspecified"
L560,Drug phototoxic response
L561,Drug photoallergic response
L562,Photocontact dermatitis [berloque dermatitis]
L563,Solar urticaria
L564,Polymorphous light eruption
L565,Disseminated superficial actinic porokeratosis (DSAP)
L568,Other specified acute skin changes due to ultraviolet radiation
L569,"Acute skin change due to ultraviolet radiation, unspecified"
L570,Actinic keratosis
L571,Actinic reticuloid
L572,Cutis rhomboidalis nuchae
L573,Poikiloderma of Civatte
L574,Cutis laxa senilis
L575,Actinic granuloma
L578,Other skin changes due to chronic exposure to nonionizing radiation
L579,"Skin changes due to chronic exposure to nonionizing radiation, unspecified"
L580,Acute radiodermatitis
L581,Chronic radiodermatitis
L589,"Radiodermatitis, unspecified"
L590,Erythema ab igne [dermatitis ab igne]
L598,Other specified disorders of the skin and subcutaneous tissue related to radiation
L599,"Disorder of the skin and subcutaneous tissue related to radiation, unspecified"
L600,Ingrowing nail
L601,Onycholysis
L602,Onychogryphosis
L603,Nail dystrophy
L604,Beau's lines
L605,Yellow nail syndrome
L608,Other nail disorders
L609,"Nail disorder, unspecified"
L62,Nail disorders in diseases classified elsewhere
L630,Alopecia (capitis) totalis
L631,Alopecia universalis
L632,Ophiasis
L638,Other alopecia areata
L639,"Alopecia areata, unspecified"
L640,Drug-induced androgenic alopecia
L648,Other androgenic alopecia
L649,"Androgenic alopecia, unspecified"
L650,Telogen effluvium
L651,Anagen effluvium
L652,Alopecia mucinosa
L658,Other specified nonscarring hair loss
L659,"Nonscarring hair loss, unspecified"
L660,Pseudopelade
L661,Lichen planopilaris
L662,Folliculitis decalvans
L663,Perifolliculitis capitis abscedens
L664,Folliculitis ulerythematosa reticulata
L668,Other cicatricial alopecia
L669,"Cicatricial alopecia, unspecified"
L670,Trichorrhexis nodosa
L671,Variations in hair color
L678,Other hair color and hair shaft abnormalities
L679,"Hair color and hair shaft abnormality, unspecified"
L680,Hirsutism
L681,Acquired hypertrichosis lanuginosa
L682,Localized hypertrichosis
L683,Polytrichia
L688,Other hypertrichosis
L689,"Hypertrichosis, unspecified"
L700,Acne vulgaris
L701,Acne conglobata
L702,Acne varioliformis
L703,Acne tropica
L704,Infantile acne
L705,Acne excoriee
L708,Other acne
L709,"Acne, unspecified"
L710,Perioral dermatitis
L711,Rhinophyma
L718,Other rosacea
L719,"Rosacea, unspecified"
L720,Epidermal cyst
L7211,Pilar cyst
L7212,Trichodermal cyst
L722,Steatocystoma multiplex
L723,Sebaceous cyst
L728,Other follicular cysts of the skin and subcutaneous tissue
L729,"Follicular cyst of the skin and subcutaneous tissue, unspecified"
L730,Acne keloid
L731,Pseudofolliculitis barbae
L732,Hidradenitis suppurativa
L738,Other specified follicular disorders
L739,"Follicular disorder, unspecified"
L740,Miliaria rubra
L741,Miliaria crystallina
L742,Miliaria profunda
L743,"Miliaria, unspecified"
L744,Anhidrosis
L74510,"Primary focal hyperhidrosis, axilla"
L74511,"Primary focal hyperhidrosis, face"
L74512,"Primary focal hyperhidrosis, palms"
L74513,"Primary focal hyperhidrosis, soles"
L74519,"Primary focal hyperhidrosis, unspecified"
L7452,Secondary focal hyperhidrosis
L748,Other eccrine sweat disorders
L749,"Eccrine sweat disorder, unspecified"
L750,Bromhidrosis
L751,Chromhidrosis
L752,Apocrine miliaria
L758,Other apocrine sweat disorders
L759,"Apocrine sweat disorder, unspecified"
L7601,Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a dermatologic
L7602,Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating other
L7611,Accidental puncture and laceration of skin and subcutaneous tissue during a dermatologic
L7612,Accidental puncture and laceration of skin and subcutaneous tissue during other procedure
L7621,Postprocedural hemorrhage of skin and subcutaneous tissue following a dermatologic procedure
L7622,Postprocedural hemorrhage of skin and subcutaneous tissue following other procedure
L7631,Postprocedural hematoma of skin and subcutaneous tissue following a dermatologic procedure
L7632,Postprocedural hematoma of skin and subcutaneous tissue following other procedure
L7633,Postprocedural seroma of skin and subcutaneous tissue following a dermatologic procedure
L7634,Postprocedural seroma of skin and subcutaneous tissue following other procedure
L7681,Other intraoperative complications of skin and subcutaneous tissue
L7682,Other postprocedural complications of skin and subcutaneous tissue
L80,Vitiligo
L810,Postinflammatory hyperpigmentation
L811,Chloasma
L812,Freckles
L813,Cafe au lait spots
L814,Other melanin hyperpigmentation
L815,"Leukoderma, not elsewhere classified"
L816,Other disorders of diminished melanin formation
L817,Pigmented purpuric dermatosis
L818,Other specified disorders of pigmentation
L819,"Disorder of pigmentation, unspecified"
L820,Inflamed seborrheic keratosis
L821,Other seborrheic keratosis
L83,Acanthosis nigricans
L84,Corns and callosities
L850,Acquired ichthyosis
L851,Acquired keratosis [keratoderma] palmaris et plantaris
L852,Keratosis punctata (palmaris et plantaris)
L853,Xerosis cutis
L858,Other specified epidermal thickening
L859,"Epidermal thickening, unspecified"
L86,Keratoderma in diseases classified elsewhere
L870,Keratosis follicularis et parafollicularis in cutem penetrans
L871,Reactive perforating collagenosis
L872,Elastosis perforans serpiginosa
L878,Other transepidermal elimination disorders
L879,"Transepidermal elimination disorder, unspecified"
L88,Pyoderma gangrenosum
L89000,"Pressure ulcer of unspecified elbow, unstageable"
L89001,"Pressure ulcer of unspecified elbow, stage 1"
L89002,"Pressure ulcer of unspecified elbow, stage 2"
L89003,"Pressure ulcer of unspecified elbow, stage 3"
L89004,"Pressure ulcer of unspecified elbow, stage 4"
L89009,"Pressure ulcer of unspecified elbow, unspecified stage"
L89010,"Pressure ulcer of right elbow, unstageable"
L89011,"Pressure ulcer of right elbow, stage 1"
L89012,"Pressure ulcer of right elbow, stage 2"
L89013,"Pressure ulcer of right elbow, stage 3"
L89014,"Pressure ulcer of right elbow, stage 4"
L89019,"Pressure ulcer of right elbow, unspecified stage"
L89020,"Pressure ulcer of left elbow, unstageable"
L89021,"Pressure ulcer of left elbow, stage 1"
L89022,"Pressure ulcer of left elbow, stage 2"
L89023,"Pressure ulcer of left elbow, stage 3"
L89024,"Pressure ulcer of left elbow, stage 4"
L89029,"Pressure ulcer of left elbow, unspecified stage"
L89100,"Pressure ulcer of unspecified part of back, unstageable"
L89101,"Pressure ulcer of unspecified part of back, stage 1"
L89102,"Pressure ulcer of unspecified part of back, stage 2"
L89103,"Pressure ulcer of unspecified part of back, stage 3"
L89104,"Pressure ulcer of unspecified part of back, stage 4"
L89109,"Pressure ulcer of unspecified part of back, unspecified stage"
L89110,"Pressure ulcer of right upper back, unstageable"
L89111,"Pressure ulcer of right upper back, stage 1"
L89112,"Pressure ulcer of right upper back, stage 2"
L89113,"Pressure ulcer of right upper back, stage 3"
L89114,"Pressure ulcer of right upper back, stage 4"
L89119,"Pressure ulcer of right upper back, unspecified stage"
L89120,"Pressure ulcer of left upper back, unstageable"
L89121,"Pressure ulcer of left upper back, stage 1"
L89122,"Pressure ulcer of left upper back, stage 2"
L89123,"Pressure ulcer of left upper back, stage 3"
L89124,"Pressure ulcer of left upper back, stage 4"
L89129,"Pressure ulcer of left upper back, unspecified stage"
L89130,"Pressure ulcer of right lower back, unstageable"
L89131,"Pressure ulcer of right lower back, stage 1"
L89132,"Pressure ulcer of right lower back, stage 2"
L89133,"Pressure ulcer of right lower back, stage 3"
L89134,"Pressure ulcer of right lower back, stage 4"
L89139,"Pressure ulcer of right lower back, unspecified stage"
L89140,"Pressure ulcer of left lower back, unstageable"
L89141,"Pressure ulcer of left lower back, stage 1"
L89142,"Pressure ulcer of left lower back, stage 2"
L89143,"Pressure ulcer of left lower back, stage 3"
L89144,"Pressure ulcer of left lower back, stage 4"
L89149,"Pressure ulcer of left lower back, unspecified stage"
L89150,"Pressure ulcer of sacral region, unstageable"
L89151,"Pressure ulcer of sacral region, stage 1"
L89152,"Pressure ulcer of sacral region, stage 2"
L89153,"Pressure ulcer of sacral region, stage 3"
L89154,"Pressure ulcer of sacral region, stage 4"
L89159,"Pressure ulcer of sacral region, unspecified stage"
L89200,"Pressure ulcer of unspecified hip, unstageable"
L89201,"Pressure ulcer of unspecified hip, stage 1"
L89202,"Pressure ulcer of unspecified hip, stage 2"
L89203,"Pressure ulcer of unspecified hip, stage 3"
L89204,"Pressure ulcer of unspecified hip, stage 4"
L89209,"Pressure ulcer of unspecified hip, unspecified stage"
L89210,"Pressure ulcer of right hip, unstageable"
L89211,"Pressure ulcer of right hip, stage 1"
L89212,"Pressure ulcer of right hip, stage 2"
L89213,"Pressure ulcer of right hip, stage 3"
L89214,"Pressure ulcer of right hip, stage 4"
L89219,"Pressure ulcer of right hip, unspecified stage"
L89220,"Pressure ulcer of left hip, unstageable"
L89221,"Pressure ulcer of left hip, stage 1"
L89222,"Pressure ulcer of left hip, stage 2"
L89223,"Pressure ulcer of left hip, stage 3"
L89224,"Pressure ulcer of left hip, stage 4"
L89229,"Pressure ulcer of left hip, unspecified stage"
L89300,"Pressure ulcer of unspecified buttock, unstageable"
L89301,"Pressure ulcer of unspecified buttock, stage 1"
L89302,"Pressure ulcer of unspecified buttock, stage 2"
L89303,"Pressure ulcer of unspecified buttock, stage 3"
L89304,"Pressure ulcer of unspecified buttock, stage 4"
L89309,"Pressure ulcer of unspecified buttock, unspecified stage"
L89310,"Pressure ulcer of right buttock, unstageable"
L89311,"Pressure ulcer of right buttock, stage 1"
L89312,"Pressure ulcer of right buttock, stage 2"
L89313,"Pressure ulcer of right buttock, stage 3"
L89314,"Pressure ulcer of right buttock, stage 4"
L89319,"Pressure ulcer of right buttock, unspecified stage"
L89320,"Pressure ulcer of left buttock, unstageable"
L89321,"Pressure ulcer of left buttock, stage 1"
L89322,"Pressure ulcer of left buttock, stage 2"
L89323,"Pressure ulcer of left buttock, stage 3"
L89324,"Pressure ulcer of left buttock, stage 4"
L89329,"Pressure ulcer of left buttock, unspecified stage"
L8940,"Pressure ulcer of contiguous site of back, buttock and hip, unspecified stage"
L8941,"Pressure ulcer of contiguous site of back, buttock and hip, stage 1"
L8942,"Pressure ulcer of contiguous site of back, buttock and hip, stage 2"
L8943,"Pressure ulcer of contiguous site of back, buttock and hip, stage 3"
L8944,"Pressure ulcer of contiguous site of back, buttock and hip, stage 4"
L8945,"Pressure ulcer of contiguous site of back, buttock and hip, unstageable"
L89500,"Pressure ulcer of unspecified ankle, unstageable"
L89501,"Pressure ulcer of unspecified ankle, stage 1"
L89502,"Pressure ulcer of unspecified ankle, stage 2"
L89503,"Pressure ulcer of unspecified ankle, stage 3"
L89504,"Pressure ulcer of unspecified ankle, stage 4"
L89509,"Pressure ulcer of unspecified ankle, unspecified stage"
L89510,"Pressure ulcer of right ankle, unstageable"
L89511,"Pressure ulcer of right ankle, stage 1"
L89512,"Pressure ulcer of right ankle, stage 2"
L89513,"Pressure ulcer of right ankle, stage 3"
L89514,"Pressure ulcer of right ankle, stage 4"
L89519,"Pressure ulcer of right ankle, unspecified stage"
L89520,"Pressure ulcer of left ankle, unstageable"
L89521,"Pressure ulcer of left ankle, stage 1"
L89522,"Pressure ulcer of left ankle, stage 2"
L89523,"Pressure ulcer of left ankle, stage 3"
L89524,"Pressure ulcer of left ankle, stage 4"
L89529,"Pressure ulcer of left ankle, unspecified stage"
L89600,"Pressure ulcer of unspecified heel, unstageable"
L89601,"Pressure ulcer of unspecified heel, stage 1"
L89602,"Pressure ulcer of unspecified heel, stage 2"
L89603,"Pressure ulcer of unspecified heel, stage 3"
L89604,"Pressure ulcer of unspecified heel, stage 4"
L89609,"Pressure ulcer of unspecified heel, unspecified stage"
L89610,"Pressure ulcer of right heel, unstageable"
L89611,"Pressure ulcer of right heel, stage 1"
L89612,"Pressure ulcer of right heel, stage 2"
L89613,"Pressure ulcer of right heel, stage 3"
L89614,"Pressure ulcer of right heel, stage 4"
L89619,"Pressure ulcer of right heel, unspecified stage"
L89620,"Pressure ulcer of left heel, unstageable"
L89621,"Pressure ulcer of left heel, stage 1"
L89622,"Pressure ulcer of left heel, stage 2"
L89623,"Pressure ulcer of left heel, stage 3"
L89624,"Pressure ulcer of left heel, stage 4"
L89629,"Pressure ulcer of left heel, unspecified stage"
L89810,"Pressure ulcer of head, unstageable"
L89811,"Pressure ulcer of head, stage 1"
L89812,"Pressure ulcer of head, stage 2"
L89813,"Pressure ulcer of head, stage 3"
L89814,"Pressure ulcer of head, stage 4"
L89819,"Pressure ulcer of head, unspecified stage"
L89890,"Pressure ulcer of other site, unstageable"
L89891,"Pressure ulcer of other site, stage 1"
L89892,"Pressure ulcer of other site, stage 2"
L89893,"Pressure ulcer of other site, stage 3"
L89894,"Pressure ulcer of other site, stage 4"
L89899,"Pressure ulcer of other site, unspecified stage"
L8990,"Pressure ulcer of unspecified site, unspecified stage"
L8991,"Pressure ulcer of unspecified site, stage 1"
L8992,"Pressure ulcer of unspecified site, stage 2"
L8993,"Pressure ulcer of unspecified site, stage 3"
L8994,"Pressure ulcer of unspecified site, stage 4"
L8995,"Pressure ulcer of unspecified site, unstageable"
L900,Lichen sclerosus et atrophicus
L901,Anetoderma of Schweninger-Buzzi
L902,Anetoderma of Jadassohn-Pellizzari
L903,Atrophoderma of Pasini and Pierini
L904,Acrodermatitis chronica atrophicans
L905,Scar conditions and fibrosis of skin
L906,Striae atrophicae
L908,Other atrophic disorders of skin
L909,"Atrophic disorder of skin, unspecified"
L910,Hypertrophic scar
L918,Other hypertrophic disorders of the skin
L919,"Hypertrophic disorder of the skin, unspecified"
L920,Granuloma annulare
L921,"Necrobiosis lipoidica, not elsewhere classified"
L922,Granuloma faciale [eosinophilic granuloma of skin]
L923,Foreign body granuloma of the skin and subcutaneous tissue
L928,Other granulomatous disorders of the skin and subcutaneous tissue
L929,"Granulomatous disorder of the skin and subcutaneous tissue, unspecified"
L930,Discoid lupus erythematosus
L931,Subacute cutaneous lupus erythematosus
L932,Other local lupus erythematosus
L940,Localized scleroderma [morphea]
L941,Linear scleroderma
L942,Calcinosis cutis
L943,Sclerodactyly
L944,Gottron's papules
L945,Poikiloderma vasculare atrophicans
L946,Ainhum
L948,Other specified localized connective tissue disorders
L949,"Localized connective tissue disorder, unspecified"
L950,Livedoid vasculitis
L951,Erythema elevatum diutinum
L958,Other vasculitis limited to the skin
L959,"Vasculitis limited to the skin, unspecified"
L97101,Non-pressure chronic ulcer of unspecified thigh limited to breakdown of skin
L97102,Non-pressure chronic ulcer of unspecified thigh with fat layer exposed
L97103,Non-pressure chronic ulcer of unspecified thigh with necrosis of muscle
L97104,Non-pressure chronic ulcer of unspecified thigh with necrosis of bone
L97109,Non-pressure chronic ulcer of unspecified thigh with unspecified severity
L97111,Non-pressure chronic ulcer of right thigh limited to breakdown of skin
L97112,Non-pressure chronic ulcer of right thigh with fat layer exposed
L97113,Non-pressure chronic ulcer of right thigh with necrosis of muscle
L97114,Non-pressure chronic ulcer of right thigh with necrosis of bone
L97119,Non-pressure chronic ulcer of right thigh with unspecified severity
L97121,Non-pressure chronic ulcer of left thigh limited to breakdown of skin
L97122,Non-pressure chronic ulcer of left thigh with fat layer exposed
L97123,Non-pressure chronic ulcer of left thigh with necrosis of muscle
L97124,Non-pressure chronic ulcer of left thigh with necrosis of bone
L97129,Non-pressure chronic ulcer of left thigh with unspecified severity
L97201,Non-pressure chronic ulcer of unspecified calf limited to breakdown of skin
L97202,Non-pressure chronic ulcer of unspecified calf with fat layer exposed
L97203,Non-pressure chronic ulcer of unspecified calf with necrosis of muscle
L97204,Non-pressure chronic ulcer of unspecified calf with necrosis of bone
L97209,Non-pressure chronic ulcer of unspecified calf with unspecified severity
L97211,Non-pressure chronic ulcer of right calf limited to breakdown of skin
L97212,Non-pressure chronic ulcer of right calf with fat layer exposed
L97213,Non-pressure chronic ulcer of right calf with necrosis of muscle
L97214,Non-pressure chronic ulcer of right calf with necrosis of bone
L97219,Non-pressure chronic ulcer of right calf with unspecified severity
L97221,Non-pressure chronic ulcer of left calf limited to breakdown of skin
L97222,Non-pressure chronic ulcer of left calf with fat layer exposed
L97223,Non-pressure chronic ulcer of left calf with necrosis of muscle
L97224,Non-pressure chronic ulcer of left calf with necrosis of bone
L97229,Non-pressure chronic ulcer of left calf with unspecified severity
L97301,Non-pressure chronic ulcer of unspecified ankle limited to breakdown of skin
L97302,Non-pressure chronic ulcer of unspecified ankle with fat layer exposed
L97303,Non-pressure chronic ulcer of unspecified ankle with necrosis of muscle
L97304,Non-pressure chronic ulcer of unspecified ankle with necrosis of bone
L97309,Non-pressure chronic ulcer of unspecified ankle with unspecified severity
L97311,Non-pressure chronic ulcer of right ankle limited to breakdown of skin
L97312,Non-pressure chronic ulcer of right ankle with fat layer exposed
L97313,Non-pressure chronic ulcer of right ankle with necrosis of muscle
L97314,Non-pressure chronic ulcer of right ankle with necrosis of bone
L97319,Non-pressure chronic ulcer of right ankle with unspecified severity
L97321,Non-pressure chronic ulcer of left ankle limited to breakdown of skin
L97322,Non-pressure chronic ulcer of left ankle with fat layer exposed
L97323,Non-pressure chronic ulcer of left ankle with necrosis of muscle
L97324,Non-pressure chronic ulcer of left ankle with necrosis of bone
L97329,Non-pressure chronic ulcer of left ankle with unspecified severity
